wavelength,absolute_irradiance,arena,light_environment
377.377,0.02,horizontal,bright
377.824,0.04,horizontal,bright
378.271,0.02,horizontal,bright
378.718,0.03,horizontal,bright
379.165,0.03,horizontal,bright
379.612,0.06,horizontal,bright
380.059,0.05,horizontal,bright
380.505,0.05,horizontal,bright
380.952,0.04,horizontal,bright
381.399,0.05,horizontal,bright
381.846,0.05,horizontal,bright
382.292,0.06,horizontal,bright
382.739,0.06,horizontal,bright
383.185,0.08,horizontal,bright
383.632,0.08,horizontal,bright
384.078,0.09,horizontal,bright
384.524,0.09,horizontal,bright
384.971,0.11,horizontal,bright
385.417,0.11,horizontal,bright
385.863,0.12,horizontal,bright
386.309,0.15,horizontal,bright
386.755,0.18,horizontal,bright
387.201,0.17,horizontal,bright
387.647,0.23,horizontal,bright
388.093,0.23,horizontal,bright
388.539,0.24,horizontal,bright
388.984,0.27,horizontal,bright
389.43,0.31,horizontal,bright
389.876,0.35,horizontal,bright
390.321,0.36,horizontal,bright
390.767,0.43,horizontal,bright
391.212,0.45,horizontal,bright
391.658,0.52,horizontal,bright
392.103,0.55,horizontal,bright
392.549,0.6,horizontal,bright
392.994,0.66,horizontal,bright
393.439,0.74,horizontal,bright
393.884,0.78,horizontal,bright
394.329,0.84,horizontal,bright
394.775,0.92,horizontal,bright
395.22,1.09,horizontal,bright
395.664,1.1,horizontal,bright
396.109,1.16,horizontal,bright
396.554,1.35,horizontal,bright
396.999,1.54,horizontal,bright
397.444,1.57,horizontal,bright
397.888,1.73,horizontal,bright
398.333,1.75,horizontal,bright
398.778,2.03,horizontal,bright
399.222,2.29,horizontal,bright
399.667,2.24,horizontal,bright
400.111,2.32,horizontal,bright
400.555,2.51,horizontal,bright
401,2.71,horizontal,bright
401.444,2.73,horizontal,bright
401.888,2.87,horizontal,bright
402.332,3.01,horizontal,bright
402.776,2.97,horizontal,bright
403.22,3.09,horizontal,bright
403.664,2.95,horizontal,bright
404.108,2.86,horizontal,bright
404.552,2.87,horizontal,bright
404.996,2.89,horizontal,bright
405.44,2.85,horizontal,bright
405.883,2.62,horizontal,bright
406.327,2.59,horizontal,bright
406.771,2.5,horizontal,bright
407.214,2.45,horizontal,bright
407.658,2.42,horizontal,bright
408.101,2.16,horizontal,bright
408.545,2.16,horizontal,bright
408.988,2.08,horizontal,bright
